name,id,tags,planetary,decivRemove,script,desc,icon,order,
Vulpoid Customs Agents,vulpoid_traders,"vulpoid_workforce, show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.workforces.TraderWorkforce,"Effective customer service work at spaceports requires a working knowledge of cargo logistics and spacecraft operations. While Vulpoids may not be able to handle everything, with enough training they can still serve as effective tier-one support.

A spaceport catered by Vulpoids will provide a top-tier experience for visiting traders, and encourage them to visit more frequently even if another port might offer slightly higher profits. Those lost margins end up bolstering colony revenue instead.",graphics/icons/markets/workforce_traders.png,31.01,
Vulpoid Security Foxes,vulpoid_security,"vulpoid_workforce, show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.workforces.SecurityWorkforce,"Vulpoids have impressive emotional intelligence as-built, but they struggle to perceive humans in a negative light. A human handler can help pick up that slack, allowing security forces can use them as the emotional equivalent of sniffer dogs.

A K9 unit using Vulpoids is significantly more effective at identifying individuals with problematic ideologies, making it difficult for criminal or terrorist networks to obtain support. In particular, Luddic Path cells will be unable to coordinate attacks under these conditions.",graphics/icons/markets/workforce_security.png,31.02,
Vulpoid Celebrities,vulpoid_celebrities,"vulpoid_workforce, show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.workforces.CelebrityWorkforce,"Vulpoids have pretty voices, a beautiful appearance, and a sincere willingness to be underpaid and exploited just for a chance to entertain humans. In short, they're perfect for the holo-media industry.

Featuring Vulpoids in cinema, music, fashion, advertisements, and more will significantly bolster consumerism. Immigration and income will be increased, but so will demand for commercial goods.",graphics/icons/markets/workforce_celebrities.png,31.03,
Vulpoid Farmers,vulpoid_farmers,"vulpoid_workforce, show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.workforces.FarmerWorkforce,"Vulpoids are surprisingly passionate farmers and agriculturalists, beyond even what would be expected for a being designed to tend wealthy individuals' gardens. This inherent propensity towards farm work makes them an excellent choice to supplement the industry, so long as they're introduced to the often Luddic-inclined farmers correctly.

Fields planted and tended by Vulpoids resemble the those of Venera, blooming lush and colorful even on seemingly-inarable land. This will result in substantially increased yield from farming operations.",graphics/icons/markets/workforce_farmers.png,31.04,
Vulpoid Mine Laborers,vulpoid_miners,"vulpoid_workforce, show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.workforces.MinerWorkforce,"Vulpoids are not well-suited for performing hard labor or operating heavy machinery. Powered exoskeletons normally used on high-gravity worlds can supplement their strength, enabling them to work shoulder-to-shoulder with human miners.

Mines with Vulpoid workers benefit from an enlarged workforce with better-motivated humans, if one is willing to endure occasional protests regarding the Vulpoids' safety. Although it causes minor disruption to stability, this will result in increased yields from mining operations.",graphics/icons/markets/workforce_miners.png,31.05,
Divine Fox Cult,vulpoid_cults,"vulpoid_workforce, show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.workforces.CultWorkforce,"The ongoing Luddic renaissance has created a cult-like following around Vulpoids. Many believers have concluded that Vulpoids are angelic servants, sent by God at Ludd's behest to soothe the tired souls of the Persean Sector.

These movements improve social cohesion and Vulpoid acceptance among the population, improving the colony's overall stability. It also enables the local government to improve relations with the Luddic population at large, who will press their overarching governments to respond in kind.",graphics/icons/markets/workforce_cults.png,31.06,
Vulpoid Orbital Workers,vulpoid_maintenance,"vulpoid_workforce, show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.workforces.MaintenanceWorkforce,"Under most circumstances Vulpoids are not intelligent enough to be trusted with spaceflight operations. However, a sufficiently large population makes it possible to identify candidates to the far-right of the bell curve, and train them on basic orbital operations such as shuttle piloting, drone tending, and basic maintenance.

Their assistance, in combination of the increased size and motivation of the human workforce in response to their presence, is a substantial boon to intra-orbital logistics.",graphics/icons/markets/workforce_maintenance.png,31.07,
Vulpoid Servants,vulpoid_servants,"vulpoid_workforce, show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.workforces.ServantWorkforce,"Humans and Vulpoids mutually want humans to be served by Vulpoids, but without intervention Vulpoids often end up distributed based on people's wealth. With an official distribution program, a much more equal spread of Vulpoids across the population can be achieved, ensuring no household is without one.

Homes with Vulpoids have been proven to report general satisfaction ratings several deviations above the mean, and a colony-wide distribution program will massively improve quality-of-life for the entire population.",graphics/icons/markets/workforce_servants.png,31.08,
Vulpoid Clerks,vulpoid_clerks,"vulpoid_workforce, show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.workforces.ClerkWorkforce,"Rather than excluding Vulpoids from the traditional economy, they can be intentionally integrated. Although they'll never be able to replace skilled positions, there's a wide range of white-collar jobs that they can perform to a reasonable standard given enough training.

This can free up human workers for more skilled jobs, thereby increasing the colony's industrial capacity. The increased wages, in combination with other economic shifts, will negatively impact income.",graphics/icons/markets/workforce_clerks.png,31.09,
,,,,,,,,,
Filtered Air,filtered_air,"show_in_codex, codex_unlockable",,TRUE,vulpoids.impl.campaign.econ.FilteredAir,"$Market is host to advanced climate-manipulation technology. Exotic fields blanket the upper atmosphere, arranging and directing clouds of nanofog as they tailor the planet's weather patterns.",graphics/icons/markets/terraformer_idyllic.png,30,
Growing Lobster Population,lobsters_growing,,TRUE,TRUE,vulpoids.impl.campaign.econ.LobstersGrowing,"Through the use of a Domain-era Bioforge, this planet's oceans are gaining a wild population of Volturnian lobsters.",graphics/icons/markets/lobsters_growing.png,137,
